IHID,ProgramID,ProgramName,GovernmentName,GovernmentType,CensusID,Census Type,AddressStreet,City,County,State,name,Government Address: Zip,Program Applicable Areas,Year Program Adopted,Year Program Updated,3rd Party Managing Entity,Data Entry Year,Unit- vs. Fee-based Program?,Program Type and Development Type,Program Type,Development Type,(Ownership) Resale Restriction Exists?,(Ownership) Resale Formula Exists?,(Rental) Rent restriction Exists?,(Rental) Rent restriction Exists?,(Rental) Compliance Monitoring Exists?,(Rental) Timing of Income Certification,(Rental) Noncompliance Remedies/Enforcement,"""Right of 1st Refusal"" Exists?",Incentive,Affordable Housing Compliance Option,Minimum Project Size,Minimum Set-aside,Any Set-aside Requirement At 20% Or More?,Highest Income Served,Lowest Income Served,(Rental) Income Requirement Type,(Rental) Single Income Requirement Detail,(Rental) Multiple Tiers of Income Targeting Detail,(Ownership) Income Requirement Type,(Ownership) Single Income Requirement Detail,(Ownership) Multiple Tiers of Income Targeting Detail,(Rental) Term of Affordability,(Rental) Affordability Term Restart?,(Ownership) Term of Affordability,(Ownership) Affordability Term Restart?,TotalAffordableRentalUnits,TotalAffordableOwnershipUnits,TotalAffordableUnits,In-Lieu Fees,Program Type,Commercial Development Type,Office Development Fee Rate,Industrial Development Fee Rate,Retail/Service Development Fee Rate,Hotel Development Fee Rate,R&D Fee Rate,Commercial Development Exemptions,Residential Development Type,Rental Fee Rate,Single Family For-Sale Fee Rate,Multifamily For-Sale Fee Rate,Townhouse For-Sale Fee Rate,Alternative Compliance Option,Fee Amount - Residential Development,Fees Amount - Commercial Development,Total Affordable Units
671,"Elk Township, NJ: City-wide IZ",City-wide IZ,Elk Township,Town or city,0600000US3401521060,County Subdivision,680 Whig Lane,Monroeville,Gloucester,NJ,New Jersey,8343,Entire jurisdiction,,,,2019,Traditional Inclusionary Housing,"Mandatory program, both rental and for-sale",Mandatory program,Both ownership and rental,Yes,Yes,No,Yes,Yes,Every time a new tenant moves in,"Notice of violation and opportunity to cure; ""the Agency, COAH and the DCA hereby reserve, for themselves and for each administrative agent appointed pursuant to this subchapter, all of the rights and remedies available at law and in equity for the enforcement of this subchapter.""",No,Density bonus,"On-site units, rehab regulated units",,15% of total project units,No,120% AMI,80% AMI,"Multiple tiers of income targeting, multiple options of income targeting requirement",,"0% ELI (0-30% AMI), 0% VLI (31-50% AMI), 50% LI (51-80% AMI), 50% Mod-Income (81-120% AMI), 0% Above Mod-Income (more than 120% AMI)","Multiple tiers of income targeting, multiple options of income targeting requirement",,"0% ELI (0-30% AMI), 0% VLI (31-50% AMI), 50% LI (51-80% AMI), 50% Mod-Income (81-120% AMI), 0% Above Mod-Income (more than 120% AMI)", 10 years,, 10 years,,,,25,,,,,,,,,,,,,,,,,,
674,"Englewood Cliffs Borough, NJ: City-wide IZ",City-wide IZ,Englewood Cliffs Borough,Town or city,0600000US3400321510,County Subdivision,482 Hudson Terrace,Englewood Cliffs,Bergen,NJ,New Jersey,7632,Entire jurisdiction,,,,2019,Traditional Inclusionary Housing,"Mandatory program, both rental and for-sale",Mandatory program,Both ownership and rental,Yes,Yes,No,Yes,Yes,Every time a new tenant moves in,"Notice of violation and opportunity to cure; ""the Agency, COAH and the DCA hereby reserve, for themselves and for each administrative agent appointed pursuant to this subchapter, all of the rights and remedies available at law and in equity for the enforcement of this subchapter.""",No,None,On-site units,5 units,15% of total project units. And the set-aside requirement varies.,Yes,120% AMI,80% AMI,"Multiple tiers of income targeting, multiple options of income targeting requirement",,"0% ELI (0-30% AMI), 0% VLI (31-50% AMI), 50% LI (51-80% AMI), 50% Mod-Income (81-120% AMI), 0% Above Mod-Income (more than 120% AMI)","Multiple tiers of income targeting, multiple options of income targeting requirement",,"0% ELI (0-30% AMI), 0% VLI (31-50% AMI), 50% LI (51-80% AMI), 50% Mod-Income (81-120% AMI), 0% Above Mod-Income (more than 120% AMI)", 10 years,, 10 years,,,,,,,,,,,,,,,,,,,,,,
678,"Fanwood Borough, NJ: City-wide IZ",City-wide IZ,Fanwood Borough,Town or city,0600000US3403922860,County Subdivision,75 Martine Avenue,Fanwood,Union,NJ,New Jersey,7023,Entire jurisdiction,,,,2019,Traditional Inclusionary Housing,"Mandatory program, both rental and for-sale",Mandatory program,Both ownership and rental,Yes,Yes,No,Yes,Yes,Every time a new tenant moves in,"Notice of violation and opportunity to cure; ""the Agency, COAH and the DCA hereby reserve, for themselves and for each administrative agent appointed pursuant to this subchapter, all of the rights and remedies available at law and in equity for the enforcement of this subchapter.""",No,None,"On-site units, off-site units",5 units,15% of total project units. And the set-aside requirement varies.,Yes,120% AMI,80% AMI,"Multiple tiers of income targeting, multiple options of income targeting requirement",,"0% ELI (0-30% AMI), 0% VLI (31-50% AMI), 50% LI (51-80% AMI), 50% Mod-Income (81-120% AMI), 0% Above Mod-Income (more than 120% AMI)","Multiple tiers of income targeting, multiple options of income targeting requirement",,"0% ELI (0-30% AMI), 0% VLI (31-50% AMI), 50% LI (51-80% AMI), 50% Mod-Income (81-120% AMI), 0% Above Mod-Income (more than 120% AMI)", 10 years,, 10 years,,,,,,,,,,,,,,,,,,,,,,
681,"Florence Township, NJ: City-wide IZ",City-wide IZ,Florence Township,Town or city,0600000US3400523850,County Subdivision,711 Broad Street,Florence,Burlington,NJ,New Jersey,8518,Entire jurisdiction,,,,2019,Traditional Inclusionary Housing,"Voluntary program, both rental and for-sale",Voluntary program,Both ownership and rental,Yes,Yes,No,Yes,Yes,Every time a new tenant moves in,"Notice of violation and opportunity to cure; ""the Agency, COAH and the DCA hereby reserve, for themselves and for each administrative agent appointed pursuant to this subchapter, all of the rights and remedies available at law and in equity for the enforcement of this subchapter.""",No,None,"On-site units, off-site units, in-lieu fee",,11.1% of total project units. And the set-aside requirement varies.,No,120% AMI,80% AMI,"Multiple tiers of income targeting, multiple options of income targeting requirement",,"0% ELI (0-30% AMI), 0% VLI (31-50% AMI), 50% LI (51-80% AMI), 50% Mod-Income (81-120% AMI), 0% Above Mod-Income (more than 120% AMI)","Multiple tiers of income targeting, multiple options of income targeting requirement",,"0% ELI (0-30% AMI), 0% VLI (31-50% AMI), 50% LI (51-80% AMI), 50% Mod-Income (81-120% AMI), 0% Above Mod-Income (more than 120% AMI)", 10 years,, 10 years,,,,6,,,,,,,,,,,,,,,,,,
683,"Florham Park Borough, NJ: City-wide IZ",City-wide IZ,Florham Park Borough,Town or city,0600000US3402723910,County Subdivision,111 Ridgedale Avenue,Florham Park,Morris,NJ,New Jersey,7932,Entire jurisdiction,,,,2019,Traditional Inclusionary Housing,"Mandatory program, both rental and for-sale",Mandatory program,Both ownership and rental,Yes,Yes,No,Yes,Yes,Every time a new tenant moves in,"Notice of violation and opportunity to cure; ""the Agency, COAH and the DCA hereby reserve, for themselves and for each administrative agent appointed pursuant to this subchapter, all of the rights and remedies available at law and in equity for the enforcement of this subchapter.""",No,None,"On-site units, rehab regulated units",,15% of total project units,No,120% AMI,80% AMI,"Multiple tiers of income targeting, multiple options of income targeting requirement",,"0% ELI (0-30% AMI), 0% VLI (31-50% AMI), 50% LI (51-80% AMI), 50% Mod-Income (81-120% AMI), 0% Above Mod-Income (more than 120% AMI)","Multiple tiers of income targeting, multiple options of income targeting requirement",,"0% ELI (0-30% AMI), 0% VLI (31-50% AMI), 50% LI (51-80% AMI), 50% Mod-Income (81-120% AMI), 0% Above Mod-Income (more than 120% AMI)", 10 years,, 10 years,,,,238,,,,,,,,,,,,,,,,,,
686,"Frankford Township, NJ: City-wide IZ",City-wide IZ,Frankford Township,Town or city,0600000US3403724810,County Subdivision,151 Route 206,Frankford Township,Sussex,NJ,New Jersey,7822,Entire jurisdiction,,,,2020,Traditional Inclusionary Housing,"Mandatory program, both rental and for-sale",Mandatory program,Both ownership and rental,Yes,Yes,No,Yes,Yes,Every time a new tenant moves in,"Notice of violation and opportunity to cure; ""the Agency, COAH and the DCA hereby reserve, for themselves and for each administrative agent appointed pursuant to this subchapter, all of the rights and remedies available at law and in equity for the enforcement of this subchapter.""",No,None,"On-site units, off-site units, rehab regulated units",,20% of total project units,Yes,120% AMI,80% AMI,"Multiple tiers of income targeting, multiple options of income targeting requirement",,"0% ELI (0-30% AMI), 0% VLI (31-50% AMI), 50% LI (51-80% AMI), 50% Mod-Income (81-120% AMI), 0% Above Mod-Income (more than 120% AMI)","Multiple tiers of income targeting, multiple options of income targeting requirement",,"0% ELI (0-30% AMI), 0% VLI (31-50% AMI), 50% LI (51-80% AMI), 50% Mod-Income (81-120% AMI), 0% Above Mod-Income (more than 120% AMI)", 10 years,, 10 years,,,,52,,,,,,,,,,,,,,,,,,
695,"Glen Rock Borough, NJ: City-wide IZ",City-wide IZ,Glen Rock Borough,Town or city,0600000US3400326640,County Subdivision,1 Harding Plaza,Glen Rock,Bergen,NJ,New Jersey,7452,Entire jurisdiction,,,,2019,Traditional Inclusionary Housing,"Mandatory program, both rental and for-sale",Mandatory program,Both ownership and rental,Yes,Yes,No,Yes,Yes,Every time a new tenant moves in,"Notice of violation and opportunity to cure; ""the Agency, COAH and the DCA hereby reserve, for themselves and for each administrative agent appointed pursuant to this subchapter, all of the rights and remedies available at law and in equity for the enforcement of this subchapter.""",No,None,"On-site units, off-site units, in-lieu fee",8 units,12.5% of total project units,No,120% AMI,80% AMI,"Multiple tiers of income targeting, multiple options of income targeting requirement",,"0% ELI (0-30% AMI), 0% VLI (31-50% AMI), 50% LI (51-80% AMI), 50% Mod-Income (81-120% AMI), 0% Above Mod-Income (more than 120% AMI)","Multiple tiers of income targeting, multiple options of income targeting requirement",,"0% ELI (0-30% AMI), 0% VLI (31-50% AMI), 50% LI (51-80% AMI), 50% Mod-Income (81-120% AMI), 0% Above Mod-Income (more than 120% AMI)", 10 years,, 10 years,,,,20,,,,,,,,,,,,,,,,,,
698,"Greenwich Township, NJ: City-wide IZ",City-wide IZ,Greenwich Township,Town or city,0600000US3401128170,County Subdivision,321 Greenwich Street,Stewartsville,Warren,NJ,New Jersey,8886,Entire jurisdiction,,,,2019,Traditional Inclusionary Housing,"Mandatory program, both rental and for-sale",Mandatory program,Both ownership and rental,Yes,Yes,No,Yes,Yes,Every time a new tenant moves in,"Notice of violation and opportunity to cure; ""the Agency, COAH and the DCA hereby reserve, for themselves and for each administrative agent appointed pursuant to this subchapter, all of the rights and remedies available at law and in equity for the enforcement of this subchapter.""",No,None,"On-site units, off-site units, in-lieu fee",,12.5% of total project units,No,120% AMI,80% AMI,"Multiple tiers of income targeting, multiple options of income targeting requirement",,"0% ELI (0-30% AMI), 0% VLI (31-50% AMI), 50% LI (51-80% AMI), 50% Mod-Income (81-120% AMI), 0% Above Mod-Income (more than 120% AMI)","Multiple tiers of income targeting, multiple options of income targeting requirement",,"0% ELI (0-30% AMI), 0% VLI (31-50% AMI), 50% LI (51-80% AMI), 50% Mod-Income (81-120% AMI), 0% Above Mod-Income (more than 120% AMI)", 10 years,, 10 years,,,,29,,,,,,,,,,,,,,,,,,
700,"Haddon Heights Borough, NJ: City-wide IZ",City-wide IZ,Haddon Heights Borough,Town or city,0600000US3400728800,County Subdivision,625 Station Avenue,Haddon Heights,Camden,NJ,New Jersey,8035,Entire jurisdiction,,,,2019,Traditional Inclusionary Housing,"Mandatory program, both rental and for-sale",Mandatory program,Both ownership and rental,Yes,Yes,No,Yes,Yes,Every time a new tenant moves in,"Notice of violation and opportunity to cure; ""the Agency, COAH and the DCA hereby reserve, for themselves and for each administrative agent appointed pursuant to this subchapter, all of the rights and remedies available at law and in equity for the enforcement of this subchapter.""",No,None,"On-site units, off-site units, in-lieu fee",,12.5% of total project units,No,120% AMI,80% AMI,"Multiple tiers of income targeting, multiple options of income targeting requirement",,"0% ELI (0-30% AMI), 0% VLI (31-50% AMI), 50% LI (51-80% AMI), 50% Mod-Income (81-120% AMI), 0% Above Mod-Income (more than 120% AMI)","Multiple tiers of income targeting, multiple options of income targeting requirement",,"0% ELI (0-30% AMI), 0% VLI (31-50% AMI), 50% LI (51-80% AMI), 50% Mod-Income (81-120% AMI), 0% Above Mod-Income (more than 120% AMI)", 10 years,, 10 years,,,,,,,,,,,,,,,,,,,,,,
701,"Haddonfield Borough, NJ: City-wide IZ",City-wide IZ,Haddonfield Borough,Town or city,0600000US3400728770,County Subdivision,242 Kings Highway E,Haddonfield,Camden,NJ,New Jersey,8033,Entire jurisdiction,,,,2019,Traditional Inclusionary Housing,"Mandatory program, both rental and for-sale",Mandatory program,Both ownership and rental,Yes,Yes,No,Yes,Yes,Every time a new tenant moves in,"Notice of violation and opportunity to cure; ""the Agency, COAH and the DCA hereby reserve, for themselves and for each administrative agent appointed pursuant to this subchapter, all of the rights and remedies available at law and in equity for the enforcement of this subchapter.""",No,None,"On-site units, in-lieu fee",,20% of total project units,Yes,120% AMI,80% AMI,"Multiple tiers of income targeting, multiple options of income targeting requirement",,"0% ELI (0-30% AMI), 0% VLI (31-50% AMI), 50% LI (51-80% AMI), 50% Mod-Income (81-120% AMI), 0% Above Mod-Income (more than 120% AMI)","Multiple tiers of income targeting, multiple options of income targeting requirement",,"0% ELI (0-30% AMI), 0% VLI (31-50% AMI), 50% LI (51-80% AMI), 50% Mod-Income (81-120% AMI), 0% Above Mod-Income (more than 120% AMI)", 10 years,, 10 years,,,,,,,,,,,,,,,,,,,,,,
710,"Hardyston Township, NJ: City-wide IZ",City-wide IZ,Hardyston Township,Town or city,0600000US3403729850,County Subdivision,149 Wheatsworth Road,Hardyston,Sussex,NJ,New Jersey,7419,Entire jurisdiction,,,,2019,Traditional Inclusionary Housing,"Mandatory program, both rental and for-sale",Mandatory program,Both ownership and rental,Yes,Yes,No,Yes,Yes,Every time a new tenant moves in,"Notice of violation and opportunity to cure; ""the Agency, COAH and the DCA hereby reserve, for themselves and for each administrative agent appointed pursuant to this subchapter, all of the rights and remedies available at law and in equity for the enforcement of this subchapter.""",No,Density bonus,"On-site units, off-site units, in-lieu fee",4 units,25% of total project units,Yes,120% AMI,80% AMI,"Multiple tiers of income targeting, multiple options of income targeting requirement",,"0% ELI (0-30% AMI), 0% VLI (31-50% AMI), 50% LI (51-80% AMI), 50% Mod-Income (81-120% AMI), 0% Above Mod-Income (more than 120% AMI)","Multiple tiers of income targeting, multiple options of income targeting requirement",,"0% ELI (0-30% AMI), 0% VLI (31-50% AMI), 50% LI (51-80% AMI), 50% Mod-Income (81-120% AMI), 0% Above Mod-Income (more than 120% AMI)", 10 years,, 10 years,,,,12,,,,,,,,,,,,,,,,,,
723,"Hope Township, NJ: City-wide IZ",City-wide IZ,Hope Township,Town or city,0600000US3404133060,County Subdivision,407 County Route 611,Hope,Warren,NJ,New Jersey,7844,Entire jurisdiction,,,,2020,Traditional Inclusionary Housing,"Mandatory program, both rental and for-sale",Mandatory program,Both ownership and rental,Yes,Yes,No,Yes,Yes,Every time a new tenant moves in,"Notice of violation and opportunity to cure; ""the Agency, COAH and the DCA hereby reserve, for themselves and for each administrative agent appointed pursuant to this subchapter, all of the rights and remedies available at law and in equity for the enforcement of this subchapter.""",No,None,"On-site units, rehab regulated units, in-lieu fee",8 units,12.5% of total project units,No,120% AMI,80% AMI,"Multiple tiers of income targeting, multiple options of income targeting requirement",,"0% ELI (0-30% AMI), 0% VLI (31-50% AMI), 50% LI (51-80% AMI), 50% Mod-Income (81-120% AMI), 0% Above Mod-Income (more than 120% AMI)","Multiple tiers of income targeting, multiple options of income targeting requirement",,"0% ELI (0-30% AMI), 0% VLI (31-50% AMI), 50% LI (51-80% AMI), 50% Mod-Income (81-120% AMI), 0% Above Mod-Income (more than 120% AMI)", 10 years,, 10 years,,,,,,,,,,,,,,,,,,,,,,
725,"Hopewell Township, NJ: City-wide IZ",City-wide IZ,Hopewell Township,Town or city,0600000US3401133120,County Subdivision,201 Washington Crossing Pennington Road,Titusville,Mercer,NJ,New Jersey,6560,Entire jurisdiction,,,,2019,Traditional Inclusionary Housing,"Mandatory program, both rental and for-sale",Mandatory program,Both ownership and rental,,,,,,,,,Don’t know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
729,"Kingwood Township, NJ: City-wide IZ",City-wide IZ,Kingwood Township,Town or city,0600000US3401937065,County Subdivision,599 Oak Grove Road,Frenchtown,Hunterdon,NJ,New Jersey,8825,Entire jurisdiction,,,,2019,Traditional Inclusionary Housing,"Mandatory program, both rental and for-sale",Mandatory program,Both ownership and rental,Yes,Yes,No,Yes,Yes,Every time a new tenant moves in,"Notice of violation and opportunity to cure; ""the Agency, COAH and the DCA hereby reserve, for themselves and for each administrative agent appointed pursuant to this subchapter, all of the rights and remedies available at law and in equity for the enforcement of this subchapter.""",No,None,"On-site units, off-site units, in-lieu fee",,12.5% of total project units,No,120% AMI,80% AMI,"Multiple tiers of income targeting, multiple options of income targeting requirement",,"0% ELI (0-30% AMI), 0% VLI (31-50% AMI), 50% LI (51-80% AMI), 50% Mod-Income (81-120% AMI), 0% Above Mod-Income (more than 120% AMI)","Multiple tiers of income targeting, multiple options of income targeting requirement",,"0% ELI (0-30% AMI), 0% VLI (31-50% AMI), 50% LI (51-80% AMI), 50% Mod-Income (81-120% AMI), 0% Above Mod-Income (more than 120% AMI)", 10 years,, 10 years,,,,40,,,,,,,,,,,,,,,,,,
732,"Lacey Township, NJ: City-wide IZ",City-wide IZ,Lacey Township,Town or city,0600000US3402937380,County Subdivision,818 W. Lacey Road,Forked River,Ocean,NJ,New Jersey,8731,Entire jurisdiction,,,,2019,Traditional Inclusionary Housing,"Mandatory program, both rental and for-sale",Mandatory program,Both ownership and rental,Yes,Yes,No,Yes,Yes,Every time a new tenant moves in,"Notice of violation and opportunity to cure; ""the Agency, COAH and the DCA hereby reserve, for themselves and for each administrative agent appointed pursuant to this subchapter, all of the rights and remedies available at law and in equity for the enforcement of this subchapter.""",No,None,"On-site units, in-lieu fee",5 units,20% of total project units,Yes,120% AMI,80% AMI,"Multiple tiers of income targeting, multiple options of income targeting requirement",,"0% ELI (0-30% AMI), 0% VLI (31-50% AMI), 50% LI (51-80% AMI), 50% Mod-Income (81-120% AMI), 0% Above Mod-Income (more than 120% AMI)","Multiple tiers of income targeting, multiple options of income targeting requirement",,"0% ELI (0-30% AMI), 0% VLI (31-50% AMI), 50% LI (51-80% AMI), 50% Mod-Income (81-120% AMI), 0% Above Mod-Income (more than 120% AMI)", 10 years,, 10 years,,,,260,,,,,,,,,,,,,,,,,,
